Soil_ID; SNAM
12296;soil12296
12297;soil12297
12298;soil12298
12299;soil12299
12300;soil12300
12301;soil12301
12302;soil12302
12303;soil12303
12304;soil12304
12305;soil12305
12306;soil12306
12308;soil12308
12309;soil12309
12321;soil12321
12322;soil12322
12323;soil12323
12324;soil12324
12325;soil12325
12326;soil12326
12430;soil12430
12431;soil12431
12432;soil12432
12433;soil12433
12434;soil12434
12435;soil12435
12436;soil12436
12437;soil12437
12438;soil12438
12439;soil12439
12440;soil12440
12441;soil12441
12442;soil12442
12443;soil12443
12444;soil12444
12445;soil12445
12446;soil12446
12447;soil12447
12448;soil12448
12450;soil12450
12454;soil12454
12455;soil12455
12456;soil12456
12457;soil12457
12458;soil12458
12459;soil12459
12461;soil12461
12471;soil12471
12472;soil12472
12473;soil12473
12474;soil12474
12475;soil12475
12476;soil12476
12477;soil12477
12478;soil12478
12479;soil12479
12480;soil12480
12481;soil12481
12482;soil12482
12483;soil12483
12484;soil12484
12486;soil12486
12487;soil12487
12489;soil12489
12492;soil12492
12657;soil12657
12658;soil12658
12686;soil12686
12692;soil12692
12697;soil12697
12718;soil12718
